,act_symbol,sector
107,ALGN,"ORTHOPEDIC, PROSTHETIC &amp; SURGICAL APPLIANCES &amp; SUPPLIES"
108,ALGT,"AIR TRANSPORTATION, SCHEDULED"
109,ALIM,PHARMACEUTICAL PREPARATIONS
110,ALJJ,"SERVICES-BUSINESS SERVICES, NEC"
111,ALK,"AIR TRANSPORTATION, SCHEDULED"
112,ALKS,PHARMACEUTICAL PREPARATIONS
113,ALL,"FIRE, MARINE &amp; CASUALTY INSURANCE"
114,ALLT,COMPUTER COMMUNICATIONS EQUIPMENT
115,ALNY,PHARMACEUTICAL PREPARATIONS
116,ALOT,"COMPUTER PERIPHERAL EQUIPMENT, NEC"
117,ALRS,NATIONAL COMMERCIAL BANKS
118,ALSK,Unknown
119,ALT,PHARMACEUTICAL PREPARATIONS
120,ALV,MOTOR VEHICLE PARTS &amp; ACCESSORIES
121,ALX,REAL ESTATE INVESTMENT TRUSTS
122,ALXN,Unknown
123,AMAT,SEMICONDUCTORS &amp; RELATED DEVICES
124,AMBC,SURETY INSURANCE
125,AMBO,SERVICES-EDUCATIONAL SERVICES
126,AMD,SEMICONDUCTORS &amp; RELATED DEVICES
127,AME,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL"
128,AMED,SERVICES-HOME HEALTH CARE SERVICES
129,AMEH,SERVICES-MANAGEMENT CONSULTING SERVICES
130,AMG,INVESTMENT ADVICE
131,AMGN,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
132,AMJ,NATIONAL COMMERCIAL BANKS
133,AMKR,SEMICONDUCTORS &amp; RELATED DEVICES
134,AMN,SERVICES-HELP SUPPLY SERVICES
135,AMNB,NATIONAL COMMERCIAL BANKS
136,AMOT,INSTRUMENTS FOR MEAS &amp; TESTING OF ELECTRICITY &amp; ELEC SIGNALS
137,AMOV,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE)
138,AMP,INVESTMENT ADVICE
139,AMPE,PHARMACEUTICAL PREPARATIONS
140,AMRB,Unknown
141,AMRC,CONSTRUCTION SPECIAL TRADE CONTRACTORS
142,AMRH,Unknown
143,AMRN,PHARMACEUTICAL PREPARATIONS
144,AMRS,INDUSTRIAL ORGANIC CHEMICALS
145,AMS,SERVICES-MEDICAL LABORATORIES
146,AMSC,MOTORS &amp; GENERATORS
147,AMSF,"FIRE, MARINE &amp; CASUALTY INSURANCE"
148,AMSWA,SERVICES-PREPACKAGED SOFTWARE
149,AMTX,INDUSTRIAL ORGANIC CHEMICALS
150,AMWD,"MILLWOOD, VENEER, PLYWOOD &amp; STRUCTURAL WOOD MEMBERS"
151,AMX,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE)
152,AMZN,RETAIL-CATALOG &amp; MAIL-ORDER HOUSES
153,AN,RETAIL-AUTO DEALERS &amp; GASOLINE STATIONS
154,ANDE,WHOLESALE-FARM PRODUCT RAW MATERIALS
155,ANF,RETAIL-FAMILY CLOTHING STORES
156,ANGO,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
157,ANH,Unknown
158,ANIK,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
159,ANIP,PHARMACEUTICAL PREPARATIONS
160,ANIX,PHARMACEUTICAL PREPARATIONS
161,ANSS,SERVICES-PREPACKAGED SOFTWARE
162,ANTE,SERVICES-ADVERTISING AGENCIES
163,ANTM,Unknown
164,AOD,Unknown
165,AOS,HOUSEHOLD APPLIANCES
166,AOSL,SEMICONDUCTORS &amp; RELATED DEVICES
167,AP,PUMPS &amp; PUMPING EQUIPMENT
168,APA,CRUDE PETROLEUM &amp; NATURAL GAS
169,APCX,SERVICES-PREPACKAGED SOFTWARE
170,APD,INDUSTRIAL INORGANIC CHEMICALS
171,APDN,SERVICES-TESTING LABORATORIES
172,APEI,SERVICES-EDUCATIONAL SERVICES
173,APEN,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
174,APH,ELECTRONIC CONNECTORS
175,APOG,"GLASS PRODUCTS, MADE OF PURCHASED GLASS"
176,APPS,PATENT OWNERS &amp; LESSORS
177,APT,"ORTHOPEDIC, PROSTHETIC &amp; SURGICAL APPLIANCES &amp; SUPPLIES"
178,APWC,DRAWING AND INSULATING NONFERROUS WIRE
179,APYX,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
180,AQN,ELECTRIC SERVICES
181,ARAY,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
182,ARC,"SERVICES-MAILING, REPRODUCTION, COMMERCIAL ART &amp; PHOTOGRAPHY"
183,ARCB,TRUCKING (NO LOCAL)
184,ARCC,Unknown
185,ARE,REAL ESTATE INVESTMENT TRUSTS
186,ARGO,TITLE INSURANCE
187,ARI,REAL ESTATE INVESTMENT TRUSTS
188,ARKR,RETAIL-EATING PLACES
189,ARL,REAL ESTATE OPERATORS (NO DEVELOPERS) &amp; LESSORS
190,ARLP,BITUMINOUS COAL &amp; LIGNITE SURFACE MINING
191,ARMP,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
192,ARNA,Unknown
193,AROC,NATURAL GAS TRANSMISSION
194,AROW,NATIONAL COMMERCIAL BANKS
195,ARR,REAL ESTATE INVESTMENT TRUSTS
196,ARTNA,WATER SUPPLY
197,ARTW,FARM MACHINERY &amp; EQUIPMENT
198,ARW,"WHOLESALE-ELECTRONIC PARTS &amp; EQUIPMENT, NEC"
199,ARWR,PHARMACEUTICAL PREPARATIONS
200,ASA,Unknown
201,ASB,STATE COMMERCIAL BANKS
202,ASG,Unknown
203,ASGN,SERVICES-HELP SUPPLY SERVICES
204,ASM,METAL MINING
205,ASMB,PHARMACEUTICAL PREPARATIONS
206,ASML,"SPECIAL INDUSTRY MACHINERY, NEC"
207,ASPS,SERVICES-MISCELLANEOUS BUSINESS SERVICES
208,ASR,"AIRPORTS, FLYING FIELDS &amp; AIRPORT TERMINAL SERVICES"
209,ASRV,NATIONAL COMMERCIAL BANKS
210,ASRVP,Unknown
211,ASTC,LABORATORY ANALYTICAL INSTRUMENTS
212,ASTE,CONSTRUCTION MACHINERY &amp; EQUIP
213,ASUR,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN
214,ASYS,"SPECIAL INDUSTRY MACHINERY, NEC"
215,AT,Unknown
216,ATAX,FINANCE SERVICES
217,ATEC,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
218,ATGE,SERVICES-EDUCATIONAL SERVICES
219,ATHE,PHARMACEUTICAL PREPARATIONS
220,ATHX,PHARMACEUTICAL PREPARATIONS
221,ATI,STEEL PIPE &amp; TUBES
222,ATLC,PERSONAL CREDIT INSTITUTIONS
223,ATLO,NATIONAL COMMERCIAL BANKS
224,ATNI,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE)
225,ATO,NATURAL GAS DISTRIBUTION
226,ATR,"PLASTICS PRODUCTS, NEC"
227,ATRC,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
228,ATRI,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
229,ATRO,"AIRCRAFT PART &amp; AUXILIARY EQUIPMENT, NEC"
230,ATRS,Unknown
231,ATSG,AIR COURIER SERVICES
232,ATV,Unknown
233,ATVI,SERVICES-PREPACKAGED SOFTWARE
234,AU,GOLD &amp; SILVER ORES
235,AUB,STATE COMMERCIAL BANKS
236,AUBN,STATE COMMERCIAL BANKS
237,AUDC,TELEPHONE &amp; TELEGRAPH APPARATUS
238,AUMN,GOLD &amp; SILVER ORES
239,AUTO,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
240,AUY,GOLD &amp; SILVER ORES
241,AVA,ELECTRIC &amp; OTHER SERVICES COMBINED
242,AVAV,AIRCRAFT
243,AVB,REAL ESTATE INVESTMENT TRUSTS
244,AVD,AGRICULTURE CHEMICALS
245,AVDL,PHARMACEUTICAL PREPARATIONS
246,AVEO,PHARMACEUTICAL PREPARATIONS
247,AVGO,SEMICONDUCTORS &amp; RELATED DEVICES
248,AVID,SERVICES-PREPACKAGED SOFTWARE
249,AVK,Unknown
250,AVNT,"PLASTICS, MATERIALS, SYNTH RESINS &amp; NONVULCAN ELASTOMERS"
251,AVNW,RADIO &amp; TV BROADCASTING &amp; COMMUNICATIONS EQUIPMENT
252,AVT,"WHOLESALE-ELECTRONIC PARTS &amp; EQUIPMENT, NEC"
253,AVXL,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
254,AVY,CONVERTED PAPER &amp; PAPERBOARD PRODS (NO CONTAINERS/BOXES)
255,AWF,Unknown
