,act_symbol,sector
2800,THFF,STATE COMMERCIAL BANKS
2801,THG,"FIRE, MARINE &amp; CASUALTY INSURANCE"
2802,THM,METAL MINING
2803,THMO,LABORATORY APPARATUS &amp; FURNITURE
2804,THO,MOTOR HOMES
2805,THRM,MOTOR VEHICLE PARTS &amp; ACCESSORIES
2806,THS,"CANNED, FROZEN &amp; PRESERVED FRUIT, VEG &amp; FOOD SPECIALTIES"
2807,THTX,PHARMACEUTICAL PREPARATIONS
2808,TIF,Unknown
2809,TIGO,RADIO TELEPHONE COMMUNICATIONS
2810,TISI,SERVICES-MISCELLANEOUS REPAIR SERVICES
2811,TITN,"RETAIL-RETAIL STORES, NEC"
2812,TJX,RETAIL-FAMILY CLOTHING STORES
2813,TK,DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT
2814,TKC,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE)
2815,TKR,BALL &amp; ROLLER BEARINGS
2816,TLGT,Unknown
2817,TLK,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE)
2818,TM,MOTOR VEHICLES &amp; PASSENGER CAR BODIES
2819,TMDI,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
2820,TMO,"MEASURING &amp; CONTROLLING DEVICES, NEC"
2821,TMP,STATE COMMERCIAL BANKS
2822,TNAV,Unknown
2823,TNC,REFRIGERATION &amp; SERVICE INDUSTRY MACHINERY
2824,TNK,WATER TRANSPORTATION
2825,TNL,HOTELS &amp; MOTELS
2826,TNP,DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT
2827,TOL,OPERATIVE BUILDERS
2828,TOPS,DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT
2829,TOWN,Unknown
2830,TPC,GENERAL BUILDING CONTRACTORS - NONRESIDENTIAL BUILDINGS
2831,TPL,OIL ROYALTY TRADERS
2832,TPR,LEATHER &amp; LEATHER PRODUCTS
2833,TPX,HOUSEHOLD FURNITURE
2834,TR,SUGAR &amp; CONFECTIONERY PRODUCTS
2835,TRC,REAL ESTATE
2836,TRCH,Unknown
2837,TREC,Unknown
2838,TREE,LOAN BROKERS
2839,TREX,LUMBER &amp; WOOD PRODUCTS (NO FURNITURE)
2840,TRGP,NATURAL GAS TRANSMISSION
2841,TRI,MISCELLANEOUS PUBLISHING
2842,TRIB,IN VITRO &amp; IN VIVO DIAGNOSTIC SUBSTANCES
2843,TRMB,"MEASURING &amp; CONTROLLING DEVICES, NEC"
2844,TRMK,NATIONAL COMMERCIAL BANKS
2845,TRN,RAILROAD EQUIPMENT
2846,TRNO,REAL ESTATE
2847,TRNS,INSTRUMENTS FOR MEAS &amp; TESTING OF ELECTRICITY &amp; ELEC SIGNALS
2848,TROW,INVESTMENT ADVICE
2849,TRP,NATURAL GAS TRANSMISSION
2850,TRQ,METAL MINING
2851,TRS,METAL FORGING &amp; STAMPINGS
2852,TRST,STATE COMMERCIAL BANKS
2853,TRT,"SPECIAL INDUSTRY MACHINERY, NEC"
2854,TRV,"FIRE, MARINE &amp; CASUALTY INSURANCE"
2855,TRX,GOLD &amp; SILVER ORES
2856,TS,"STEEL WORKS, BLAST FURNACES  ROLLING MILLS (COKE OVENS)"
2857,TSBK,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED"
2858,TSCO,"RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY"
2859,TSEM,SEMICONDUCTORS &amp; RELATED DEVICES
2860,TSI,Unknown
2861,TSLA,MOTOR VEHICLES &amp; PASSENGER CAR BODIES
2862,TSM,SEMICONDUCTORS &amp; RELATED DEVICES
2863,TSN,POULTRY SLAUGHTERING AND PROCESSING
2864,TSRI,SERVICES-COMPUTER PROGRAMMING SERVICES
2865,TT,AUTO CONTROLS FOR REGULATING RESIDENTIAL &amp; COMML ENVIRONMENT
2866,TTC,LAWN &amp; GARDEN TRACTORS &amp; HOME LAWN &amp; GARDEN EQUIPMENT
2867,TTE,CRUDE PETROLEUM &amp; NATURAL GAS
2868,TTEC,SERVICES-HELP SUPPLY SERVICES
2869,TTEK,SERVICES-ENGINEERING SERVICES
2870,TTGT,TELEGRAPH &amp; OTHER MESSAGE COMMUNICATIONS
2871,TTI,CRUDE PETROLEUM &amp; NATURAL GAS
2872,TTM,MOTOR VEHICLES &amp; PASSENGER CAR BODIES
2873,TTMI,PRINTED CIRCUIT BOARDS
2874,TTNP,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
2875,TTWO,SERVICES-PREPACKAGED SOFTWARE
2876,TUP,"PLASTICS PRODUCTS, NEC"
2877,TURN,INVESTMENT ADVICE
2878,TV,TELEVISION BROADCASTING STATIONS
2879,TVTY,Unknown
2880,TWI,"STEEL WORKS, BLAST FURNACES  ROLLING MILLS (COKE OVENS)"
2881,TWIN,GENERAL INDUSTRIAL MACHINERY &amp; EQUIPMENT
2882,TWN,Unknown
2883,TWO,REAL ESTATE INVESTMENT TRUSTS
2884,TX,"STEEL WORKS, BLAST FURNACES  ROLLING MILLS (COKE OVENS)"
2885,TXMD,PHARMACEUTICAL PREPARATIONS
2886,TXN,SEMICONDUCTORS &amp; RELATED DEVICES
2887,TXRH,RETAIL-EATING PLACES
2888,TXT,AIRCRAFT &amp; PARTS
2889,TY,Unknown
2890,TYG,Unknown
2891,TYL,SERVICES-PREPACKAGED SOFTWARE
2892,TZOO,SERVICES-ADVERTISING
2893,UAA,APPAREL &amp; OTHER FINISHED PRODS OF FABRICS &amp; SIMILAR MATERIAL
2894,UAG,Unknown
2895,UAL,"AIR TRANSPORTATION, SCHEDULED"
2896,UAMY,PRIMARY SMELTING &amp; REFINING OF NONFERROUS METALS
2897,UAVS,AIRCRAFT
2898,UBA,REAL ESTATE INVESTMENT TRUSTS
2899,UBCP,STATE COMMERCIAL BANKS
2900,UBFO,NATIONAL COMMERCIAL BANKS
2901,UBOH,NATIONAL COMMERCIAL BANKS
2902,UBP,REAL ESTATE INVESTMENT TRUSTS
2903,UBSI,STATE COMMERCIAL BANKS
2904,UCBI,STATE COMMERCIAL BANKS
2905,UCTT,SEMICONDUCTORS &amp; RELATED DEVICES
2906,UDR,REAL ESTATE INVESTMENT TRUSTS
2907,UEC,MISCELLANEOUS METAL ORES
2908,UEIC,HOUSEHOLD AUDIO &amp; VIDEO EQUIPMENT
2909,UEPS,Unknown
2910,UFCS,"FIRE, MARINE &amp; CASUALTY INSURANCE"
2911,UFI,TEXTILE MILL PRODUCTS
2912,UFPI,"SAWMILLS, PLANNING MILLS, GENERAL"
2913,UFPT,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
2914,UFS,Unknown
2915,UG,"PERFUMES, COSMETICS &amp; OTHER TOILET PREPARATIONS"
2916,UGI,GAS &amp; OTHER SERVICES COMBINED
2917,UGP,NATURAL GAS DISTRIBUTION
2918,UHAL,SERVICES-AUTO RENTAL &amp; LEASING (NO DRIVERS)
2919,UHS,"SERVICES-GENERAL MEDICAL &amp; SURGICAL HOSPITALS, NEC"
2920,UHT,REAL ESTATE INVESTMENT TRUSTS
2921,UIS,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN
2922,UL,"SOAP, DETERGENT, CLEANING PREPARATIONS, PERFUMES, COSMETICS"
2923,ULBI,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT &amp; SUPPLIES"
2924,ULH,TRUCKING (NO LOCAL)
2925,UMBF,NATIONAL COMMERCIAL BANKS
2926,UMC,SEMICONDUCTORS &amp; RELATED DEVICES
2927,UMH,REAL ESTATE INVESTMENT TRUSTS
2928,UMPQ,"SAVINGS INSTITUTION, FEDERALLY CHARTERED"
2929,UNAM,"FIRE, MARINE &amp; CASUALTY INSURANCE"
2930,UNB,STATE COMMERCIAL BANKS
2931,UNF,SERVICES-PERSONAL SERVICES
2932,UNFI,WHOLESALE-GROCERIES &amp; GENERAL LINE
2933,UNH,HOSPITAL &amp; MEDICAL SERVICE PLANS
2934,UNM,ACCIDENT &amp; HEALTH INSURANCE
2935,UNP,"RAILROADS, LINE-HAUL OPERATING"
2936,UNTY,STATE COMMERCIAL BANKS
2937,UONE,RADIO BROADCASTING STATIONS
2938,UONEK,RADIO BROADCASTING STATIONS
2939,UPS,TRUCKING &amp; COURIER SERVICES (NO AIR)
2940,URBN,RETAIL-FAMILY CLOTHING STORES
2941,URG,GOLD &amp; SILVER ORES
2942,URI,"SERVICES-EQUIPMENT RENTAL &amp; LEASING, NEC"
2943,USA,Unknown
2944,USAK,TRUCKING (NO LOCAL)
2945,USAP,"STEEL WORKS, BLAST FURNACES  ROLLING MILLS (COKE OVENS)"
2946,USAT,Unknown
2947,USAU,METAL MINING
2948,USB,NATIONAL COMMERCIAL BANKS
2949,USCR,Unknown
2950,USEG,CRUDE PETROLEUM &amp; NATURAL GAS
2951,USIO,"FUNCTIONS RELATED TO DEPOSITORY BANKING, NEC"
2952,USLM,"MINING, QUARRYING OF NONMETALLIC MINERALS (NO FUELS)"
2953,USM,RADIO TELEPHONE COMMUNICATIONS
2954,USNA,MEDICINAL CHEMICALS &amp; BOTANICAL PRODUCTS
2955,USPH,SERVICES-HEALTH SERVICES
2956,USV,Unknown
2957,UTF,Unknown
2958,UTG,Unknown
2959,UTHR,PHARMACEUTICAL PREPARATIONS
2960,UTI,SERVICES-EDUCATIONAL SERVICES
2961,UTL,ELECTRIC &amp; OTHER SERVICES COMBINED
2962,UTMD,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
2963,UTSI,"COMMUNICATIONS EQUIPMENT, NEC"
2964,UUU,"WHOLESALE-ELECTRONIC PARTS &amp; EQUIPMENT, NEC"
2965,UVE,"FIRE, MARINE &amp; CASUALTY INSURANCE"
2966,UVSP,STATE COMMERCIAL BANKS
2967,UVV,WHOLESALE-FARM PRODUCT RAW MATERIALS
2968,V,"SERVICES-BUSINESS SERVICES, NEC"
2969,VABK,NATIONAL COMMERCIAL BANKS
2970,VALE,METAL MINING
2971,VALU,INVESTMENT ADVICE
2972,VAR,Unknown
2973,VBF,Unknown
2974,VBFC,STATE COMMERCIAL BANKS
2975,VC,MOTOR VEHICLE PARTS &amp; ACCESSORIES
2976,VCEL,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
2977,VCF,Unknown
2978,VCV,Unknown
2979,VECO,"SPECIAL INDUSTRY MACHINERY, NEC"
2980,VEON,RADIO TELEPHONE COMMUNICATIONS
2981,VERU,PHARMACEUTICAL PREPARATIONS
2982,VET,CRUDE PETROLEUM &amp; NATURAL GAS
2983,VFC,"MEN&#39;S &amp; BOYS&#39; FURNISHINGS, WORK CLOTHING, AND ALLIED GARMENTS"
2984,VFL,Unknown
2985,VG,Unknown
2986,VGM,Unknown
2987,VGR,CIGARETTES
2988,VGZ,GOLD &amp; SILVER ORES
2989,VHC,PATENT OWNERS &amp; LESSORS
2990,VHI,INDUSTRIAL INORGANIC CHEMICALS
2991,VIAC,Unknown
2992,VIACA,Unknown
2993,VIAV,SEMICONDUCTORS &amp; RELATED DEVICES
2994,VICR,"ELECTRONIC COMPONENTS, NEC"
2995,VIRC,PUBLIC BUILDING AND RELATED FURNITURE
2996,VIRX,PHARMACEUTICAL PREPARATIONS
2997,VIVE,ELECTROMEDICAL &amp; ELECTROTHERAPEUTIC APPARATUS
2998,VIVO,IN VITRO &amp; IN VIVO DIAGNOSTIC SUBSTANCES
2999,VKI,Unknown
3000,VKQ,Unknown
3001,VLGEA,RETAIL-GROCERY STORES
3002,VLO,PETROLEUM REFINING
3003,VLT,Unknown
3004,VLY,NATIONAL COMMERCIAL BANKS
3005,VMC,"MINING, QUARRYING OF NONMETALLIC MINERALS (NO FUELS)"
3006,VMI,FABRICATED STRUCTURAL METAL PRODUCTS
3007,VMM,Unknown
3008,VMO,Unknown
3009,VMW,SERVICES-PREPACKAGED SOFTWARE
3010,VNDA,PHARMACEUTICAL PREPARATIONS
3011,VNO,REAL ESTATE INVESTMENT TRUSTS
3012,VOD,RADIO TELEPHONE COMMUNICATIONS
3013,VOXX,"WHOLESALE-ELECTRONIC PARTS &amp; EQUIPMENT, NEC"
3014,VPG,ELECTRONIC COMPONENTS &amp; ACCESSORIES
3015,VPV,Unknown
3016,VRA,LEATHER &amp; LEATHER PRODUCTS
3017,VRME,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN
3018,VRNT,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN
3019,VRSK,SERVICES-COMPUTER PROCESSING &amp; DATA PREPARATION
3020,VRSN,SERVICES-COMPUTER PROGRAMMING SERVICES
3021,VRTS,INVESTMENT ADVICE
3022,VRTU,Unknown
3023,VRTX,PHARMACEUTICAL PREPARATIONS
3024,VSAT,"COMMUNICATION SERVICES, NEC"
3025,VSEC,SERVICES-ENGINEERING SERVICES
3026,VSH,ELECTRONIC COMPONENTS &amp; ACCESSORIES
3027,VTA,Unknown
3028,VTN,Unknown
3029,VTNR,PETROLEUM REFINING
3030,VTR,REAL ESTATE INVESTMENT TRUSTS
3031,VTSI,MISCELLANEOUS MANUFACTURING INDUSTRIES
3032,VVI,SERVICES-MISCELLANEOUS AMUSEMENT &amp; RECREATION
3033,VVR,Unknown
3034,VXRT,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
3035,VZ,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE)
3036,WAB,RAILROAD EQUIPMENT
3037,WABC,NATIONAL COMMERCIAL BANKS
3038,WAFD,NATIONAL COMMERCIAL BANKS
3039,WAL,STATE COMMERCIAL BANKS
3040,WASH,STATE COMMERCIAL BANKS
3041,WAT,LABORATORY ANALYTICAL INSTRUMENTS
3042,WBK,Unknown
3043,WBS,NATIONAL COMMERCIAL BANKS
3044,WCC,"WHOLESALE-ELECTRICAL APPARATUS &amp; EQUIPMENT, WIRING SUPPLIES"
3045,WCN,REFUSE SYSTEMS
3046,WD,FINANCE SERVICES
3047,WDC,COMPUTER STORAGE DEVICES
3048,WDFC,MISCELLANEOUS CHEMICAL PRODUCTS
3049,WDR,Unknown
3050,WEA,Unknown
3051,WEC,ELECTRIC &amp; OTHER SERVICES COMBINED
3052,WELL,REAL ESTATE INVESTMENT TRUSTS
3053,WEN,RETAIL-EATING &amp; DRINKING PLACES
3054,WERN,TRUCKING (NO LOCAL)
3055,WETF,"SECURITY BROKERS, DEALERS &amp; FLOTATION COMPANIES"
3056,WEX,"SERVICES-BUSINESS SERVICES, NEC"
3057,WEYS,"WHOLESALE-APPAREL, PIECE GOODS &amp; NOTIONS"
3058,WFC,NATIONAL COMMERCIAL BANKS
3059,WGO,MOTOR HOMES
3060,WHG,INVESTMENT ADVICE
3061,WHLM,SERVICES-MANAGEMENT CONSULTING SERVICES
3062,WHR,HOUSEHOLD APPLIANCES
3063,WIA,Unknown
3064,WILC,WHOLESALE-GROCERIES &amp; GENERAL LINE
3065,WINA,RETAIL-MISCELLANEOUS RETAIL
3066,WINT,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
3067,WIRE,ROLLING DRAWING &amp; EXTRUDING OF NONFERROUS METALS
3068,WIT,SERVICES-COMPUTER PROGRAMMING SERVICES
3069,WIW,Unknown
3070,WKHS,MOTOR VEHICLES &amp; PASSENGER CAR BODIES
3071,WLDN,SERVICES-ENGINEERING SERVICES
3072,WLFC,"WHOLESALE-MACHINERY, EQUIPMENT &amp; SUPPLIES"
3073,WLK,INDUSTRIAL ORGANIC CHEMICALS
3074,WM,REFUSE SYSTEMS
3075,WMB,NATURAL GAS TRANSMISSION
3076,WMK,RETAIL-GROCERY STORES
3077,WMT,RETAIL-VARIETY STORES
3078,WNC,TRUCK TRAILERS
3079,WNEB,"SAVINGS INSTITUTION, FEDERALLY CHARTERED"
3080,WNS,"SERVICES-BUSINESS SERVICES, NEC"
3081,WOR,"STEEL WORKS, BLAST FURNACES &amp; ROLLING &amp; FINISHING MILLS"
3082,WPC,REAL ESTATE INVESTMENT TRUSTS
3083,WPM,GOLD &amp; SILVER ORES
3084,WPRT,ENGINES &amp; TURBINES
3085,WRB,"FIRE, MARINE &amp; CASUALTY INSURANCE"
3086,WRE,REAL ESTATE INVESTMENT TRUSTS
3087,WRI,Unknown
3088,WRLD,PERSONAL CREDIT INSTITUTIONS
3089,WSBC,NATIONAL COMMERCIAL BANKS
3090,WSFS,NATIONAL COMMERCIAL BANKS
3091,WSM,"RETAIL-HOME FURNITURE, FURNISHINGS &amp; EQUIPMENT STORES"
3092,WSO,WHOLESALE-HARDWARE &amp; PLUMBING &amp; HEATING EQUIPMENT &amp; SUPPLIES
3093,WSR,REAL ESTATE INVESTMENT TRUSTS
3094,WST,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
3095,WSTG,WHOLESALE-COMPUTER &amp; PERIPHERAL EQUIPMENT &amp; SOFTWARE
3096,WTBA,STATE COMMERCIAL BANKS
3097,WTFC,STATE COMMERCIAL BANKS
3098,WTI,CRUDE PETROLEUM &amp; NATURAL GAS
3099,WTM,"FIRE, MARINE &amp; CASUALTY INSURANCE"
3100,WTRG,WATER SUPPLY
3101,WTS,MISCELLANEOUS FABRICATED METAL PRODUCTS
3102,WTT,"COMMUNICATIONS EQUIPMENT, NEC"
3103,WU,"SERVICES-BUSINESS SERVICES, NEC"
3104,WVVI,BEVERAGES
3105,WW,SERVICES-PERSONAL SERVICES
3106,WWD,ELECTRICAL INDUSTRIAL APPARATUS
3107,WWE,SERVICES-MOTION PICTURE &amp; VIDEO TAPE PRODUCTION
3108,WWR,METAL MINING
3109,WWW,"FOOTWEAR, (NO RUBBER)"
3110,WY,REAL ESTATE INVESTMENT TRUSTS
3111,WYNN,HOTELS &amp; MOTELS
3112,WYY,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN
3113,X,"STEEL WORKS, BLAST FURNACES  ROLLING MILLS (COKE OVENS)"
3114,XEC,Unknown
3115,XEL,ELECTRIC &amp; OTHER SERVICES COMBINED
3116,XELB,PATENT OWNERS &amp; LESSORS
3117,XIN,GEN BUILDING CONTRACTORS - RESIDENTIAL BUILDINGS
3118,XLNX,Unknown
3119,XOM,PETROLEUM REFINING
3120,XOMA,PHARMACEUTICAL PREPARATIONS
3121,XPL,GOLD &amp; SILVER ORES
3122,XPO,TRANSPORTATION SERVICES
3123,XRAY,DENTAL EQUIPMENT &amp; SUPPLIES
3124,XSPA,SERVICES-PERSONAL SERVICES
3125,XTLB,PHARMACEUTICAL PREPARATIONS
3126,XTNT,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
3127,Y,"FIRE, MARINE &amp; CASUALTY INSURANCE"
3128,YELL,TRUCKING (NO LOCAL)
3129,YGYI,RETAIL-CATALOG &amp; MAIL-ORDER HOUSES
3130,YORW,WATER SUPPLY
3131,YPF,PETROLEUM REFINING
3132,YTEN,AGRICULTURE PRODUCTION - CROPS
3133,YUM,RETAIL-EATING PLACES
3134,YVR,SERVICES-PREPACKAGED SOFTWARE
3135,ZAGG,Unknown
3136,ZBH,"ORTHOPEDIC, PROSTHETIC &amp; SURGICAL APPLIANCES &amp; SUPPLIES"
3137,ZBRA,GENERAL INDUSTRIAL MACHINERY &amp; EQUIPMENT
3138,ZEUS,WHOLESALE-METALS SERVICE CENTERS &amp; OFFICES
3139,ZGNX,Unknown
3140,ZIOP,Unknown
3141,ZIXI,Unknown
3142,ZNH,"AIR TRANSPORTATION, SCHEDULED"
3143,ZTR,Unknown
3144,ZUMZ,RETAIL-APPAREL &amp; ACCESSORY STORES
3145,ZVO,SERVICES-EDUCATIONAL SERVICES
3146,ZYXI,ELECTROMEDICAL &amp; ELECTROTHERAPEUTIC APPARATUS
3147,ABST,SERVICES-PREPACKAGED SOFTWARE
3148,AGM.A,Unknown
3149,BCDA,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
3150,BDL,RETAIL-EATING PLACES
3151,BPTH,PHARMACEUTICAL PREPARATIONS
3152,BRBS,STATE COMMERCIAL BANKS
3153,CIXX,INVESTMENT ADVICE
3154,CKX,CRUDE PETROLEUM &amp; NATURAL GAS
3155,CSBR,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
3156,DISCB,Unknown
3157,DLHC,SERVICES-HELP SUPPLY SERVICES
3158,DLPN,SERVICES-PERSONAL SERVICES
3159,EDSA,PHARMACEUTICAL PREPARATIONS
3160,EMX,METAL MINING
3161,ERF,CRUDE PETROLEUM &amp; NATURAL GAS
3162,ESBK,Unknown
3163,GBR,CRUDE PETROLEUM &amp; NATURAL GAS
3164,GJR,Unknown
3165,GJT,ASSET-BACKED SECURITIES
3166,HROW,PHARMACEUTICAL PREPARATIONS
3167,IDW,SERVICES-ADVERTISING
3168,INTZ,COMPUTER COMMUNICATIONS EQUIPMENT
3169,ISDR,SERVICES-MANAGEMENT CONSULTING SERVICES
3170,KOR,GOLD &amp; SILVER ORES
3171,KTH,ASSET-BACKED SECURITIES
3172,NHLD,Unknown
3173,NPN,Unknown
3174,OBT,STATE COMMERCIAL BANKS
3175,OGEN,PHARMACEUTICAL PREPARATIONS
3176,OPHC,NATIONAL COMMERCIAL BANKS
3177,OPNT,PHARMACEUTICAL PREPARATIONS
3178,PBA,OIL AND GAS FIELD EXPLORATION SERVICES
3179,PFIE,OIL &amp; GAS FILED MACHINERY &amp; EQUIPMENT
3180,PFIS,NATIONAL COMMERCIAL BANKS
3181,PLBC,SHORT-TERM BUSINESS CREDIT INSTITUTIONS
3182,POAI,"ORTHOPEDIC, PROSTHETIC &amp; SURGICAL APPLIANCES &amp; SUPPLIES"
3183,PYT,Unknown
3184,RAND,Unknown
3185,RGCO,NATURAL GAS TRANSMISSION &amp; DISTRIBUTION
3186,SAND,GOLD &amp; SILVER ORES
3187,SBFG,STATE COMMERCIAL BANKS
3188,SFST,NATIONAL COMMERCIAL BANKS
3189,SIEB,"SECURITY BROKERS, DEALERS &amp; FLOTATION COMPANIES"
3190,SII,FINANCE SERVICES
3191,SMIT,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL"
3192,SMTS,METAL MINING
3193,TFII,TRUCKING &amp; COURIER SERVICES (NO AIR)
3194,TOMZ,INDUSTRIAL ORGANIC CHEMICALS
3195,TRXC,Unknown
3196,TU,RADIO TELEPHONE COMMUNICATIONS
3197,UBG,Unknown
3198,USAS,METAL MINING
3199,UUUU,"MINING, QUARRYING OF NONMETALLIC MINERALS (NO FUELS)"
3200,VBIV,PHARMACEUTICAL PREPARATIONS
3201,VUZI,RADIO &amp; TV BROADCASTING &amp; COMMUNICATIONS EQUIPMENT
3202,WFCF,SERVICES-PREPACKAGED SOFTWARE
3203,WRN,METAL MINING
3204,WSO.B,Unknown
3205,BCML,STATE COMMERCIAL BANKS
3206,BFC,NATIONAL COMMERCIAL BANKS
3207,CATC,STATE COMMERCIAL BANKS
3208,DMAC,PHARMACEUTICAL PREPARATIONS
3209,DOOR,"MILLWOOD, VENEER, PLYWOOD &amp; STRUCTURAL WOOD MEMBERS"
3210,EEH,Unknown
3211,FF,INDUSTRIAL ORGANIC CHEMICALS
3212,GLPG,PHARMACEUTICAL PREPARATIONS
3213,GPRK,CRUDE PETROLEUM &amp; NATURAL GAS
3214,LFMD,SERVICES-OFFICES &amp; CLINICS OF DOCTORS OF MEDICINE
3215,MTA,GOLD &amp; SILVER ORES
3216,NSYS,"ELECTRONIC COMPONENTS, NEC"
3217,NVGS,DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT
3218,ORGN,INDUSTRIAL ORGANIC CHEMICALS
3219,SUNW,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT &amp; SUPPLIES"
3220,SVT,"CUTLERY, HANDTOOLS &amp; GENERAL HARDWARE"
3221,WVFC,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED"
3222,XPEL,"COATING, ENGRAVING &amp; ALLIED SERVICES"
3223,CGAU,GOLD &amp; SILVER ORES
3224,CLDB,Unknown
3225,CODA,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL SYS"
3226,FDBC,NATIONAL COMMERCIAL BANKS
3227,FGBI,"SAVINGS INSTITUTION, FEDERALLY CHARTERED"
3228,GTT,Unknown
3229,IOVA,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
3230,LBTYB,CABLE &amp; OTHER PAY TELEVISION SERVICES
3231,LSBK,"SAVINGS INSTITUTION, FEDERALLY CHARTERED"
3232,MNSB,STATE COMMERCIAL BANKS
3233,SRNE,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
3234,SUZ,PAPER MILLS
3235,CUEN,WHOLESALE-GROCERIES &amp; RELATED PRODUCTS
3236,HGBL,"SERVICES-BUSINESS SERVICES, NEC"
3237,IMV,PHARMACEUTICAL PREPARATIONS
3238,SONN,PHARMACEUTICAL PREPARATIONS
3239,SYTA,RADIO TELEPHONE COMMUNICATIONS
3240,APTO,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
3241,CTGO,GOLD &amp; SILVER ORES
3242,HBMD,Unknown
3243,KIQ,RAILROAD EQUIPMENT
3244,LMNL,PHARMACEUTICAL PREPARATIONS
3245,RDIB,SERVICES-MOTION PICTURE THEATERS
3246,FCAP,"SAVINGS INSTITUTION, FEDERALLY CHARTERED"
3247,FMBH,STATE COMMERCIAL BANKS
3248,FTS,ELECTRIC SERVICES
3249,KMDA,PHARMACEUTICAL PREPARATIONS
3250,MPB,STATE COMMERCIAL BANKS
3251,MRTX,PHARMACEUTICAL PREPARATIONS
3252,NVCN,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
3253,PPSI,"POWER, DISTRIBUTION &amp; SPECIALTY TRANSFORMERS"
3254,RIVE,Unknown
3255,TCFC,STATE COMMERCIAL BANKS
3256,AAT,REAL ESTATE INVESTMENT TRUSTS
3257,MVBF,STATE COMMERCIAL BANKS
3258,OFED,"SAVINGS INSTITUTION, FEDERALLY CHARTERED"
3259,PTVCA,Unknown
3260,UIHC,"FIRE, MARINE &amp; CASUALTY INSURANCE"
3261,DGICB,"FIRE, MARINE &amp; CASUALTY INSURANCE"
3262,KELYB,SERVICES-HELP SUPPLY SERVICES
3263,VFF,AGRICULTURE PRODUCTION - CROPS
3264,MCC,Unknown
3265,OXLC,Unknown
3266,PVG,Unknown
3267,WFG,"SAWMILLS, PLANNING MILLS, GENERAL"
3268,OPBK,STATE COMMERCIAL BANKS
3269,REI,CRUDE PETROLEUM &amp; NATURAL GAS
3270,INPX,SERVICES-COMPUTER PROGRAMMING SERVICES
3271,PAYS,"SERVICES-BUSINESS SERVICES, NEC"
3272,LEAF,Unknown
3273,LND,AGRICULTURE PRODUCTION - CROPS
3274,NLSN,"SERVICES-BUSINESS SERVICES, NEC"
3275,XXII,CIGARETTES
3276,ACP,Unknown
3277,BGX,Unknown
3278,GNT,Unknown
3279,AGRO,AGRICULTURE PRODUCTION - CROPS
3280,BKU,"SAVINGS INSTITUTION, FEDERALLY CHARTERED"
3281,ELYS,SERVICES-PREPACKAGED SOFTWARE
3282,PTRS,STATE COMMERCIAL BANKS
3283,RBNC,Unknown
3284,AUPH,PHARMACEUTICAL PREPARATIONS
3285,NPTN,Unknown
3286,ONCS,PHARMACEUTICAL PREPARATIONS
3287,ORGS,PHARMACEUTICAL PREPARATIONS
3288,PCRX,PHARMACEUTICAL PREPARATIONS
3289,GEVO,INDUSTRIAL ORGANIC CHEMICALS
3290,INN,REAL ESTATE INVESTMENT TRUSTS
3291,FLDM,Unknown
3292,ACRX,PHARMACEUTICAL PREPARATIONS
3293,KMI,NATURAL GAS TRANSMISSION
